text,emotion
I am feeling very happy today,joy
This is the best day of my life,joy
I am so excited about the trip,joy
I feel wonderful and cheerful,joy
What a beautiful and joyful moment,joy
I am smiling all day,joy
I am delighted with the result,joy
This news made me extremely happy,joy
I feel great about my success,joy
I am enjoying this wonderful evening,joy
I am sad and want to cry,sadness
Today I feel very lonely,sadness
I miss my old friends,sadness
This situation makes me unhappy,sadness
I feel disappointed about the result,sadness
I am crying because I lost my toy,sadness
My heart feels heavy today,sadness
I feel unhappy after the bad news,sadness
I am unhappy with what happened,sadness
I feel lonely at home,sadness
I am very angry right now,anger
This behavior makes me furious,anger
I hate being treated unfairly,anger
I am frustrated with this problem,anger
That rude comment made me angry,anger
I cannot control my anger,anger
I am annoyed by the constant noise,anger
This unfair decision makes me furious,anger
I feel irritated with my brother,anger
I am angry about the mistake,anger
I am scared of the dark,fear
I feel afraid of losing my job,fear
This strange sound makes me nervous,fear
I am worried about the exam,fear
I fear that something bad will happen,fear
I feel frightened when I am alone,fear
The storm made everyone afraid,fear
I am nervous about tomorrow,fear
I am terrified by the loud noise,fear
I feel anxious before the interview,fear
I am surprised by this gift,surprise
The result was completely unexpected,surprise
I cannot believe what I just saw,surprise
What a surprising announcement,surprise
I was shocked by the news,surprise
This unexpected event amazed me,surprise
I am astonished by your talent,surprise
The sudden visit surprised me,surprise
I never expected this wonderful gift,surprise
The final score surprised everyone,surprise
I love spending time with my family,love
You are very important to me,love
I care deeply about my parents,love
I love my best friend,love
My family gives me so much love,love
I feel affection for my little sister,love
I am grateful for your kindness,love
I really care about these people,love
Love makes life beautiful,love
I enjoy helping the people I love,love
I feel calm and peaceful today,neutral
The weather is normal today,neutral
I am going to college in the morning,neutral
I finished my homework on time,neutral
The book is on the table,neutral
I attended my class today,neutral
The train arrived at the station,neutral
I had lunch with my friend,neutral
The computer is working normally,neutral
I will study for two hours tonight,neutral
I am feeling very happy today,joy
This is the best day of my life,joy
I am so excited about the trip,joy
I feel wonderful and cheerful,joy
What a beautiful and joyful moment,joy
I am smiling all day,joy
I am delighted with the result,joy
This news made me extremely happy,joy
I feel great about my success,joy
I am enjoying this wonderful evening,joy
I am sad and want to cry,sadness
Today I feel very lonely,sadness
I miss my old friends,sadness
This situation makes me unhappy,sadness
I feel disappointed about the result,sadness
I am crying because I lost my toy,sadness
My heart feels heavy today,sadness
I feel unhappy after the bad news,sadness
I am unhappy with what happened,sadness
I feel lonely at home,sadness
I am very angry right now,anger
This behavior makes me furious,anger
I hate being treated unfairly,anger
I am frustrated with this problem,anger
That rude comment made me angry,anger
I cannot control my anger,anger
I am annoyed by the constant noise,anger
This unfair decision makes me furious,anger
I feel irritated with my brother,anger
I am angry about the mistake,anger
I am scared of the dark,fear
I feel afraid of losing my job,fear
This strange sound makes me nervous,fear
I am worried about the exam,fear
I fear that something bad will happen,fear
I feel frightened when I am alone,fear
The storm made everyone afraid,fear
I am nervous about tomorrow,fear
I am terrified by the loud noise,fear
I feel anxious before the interview,fear
I am surprised by this gift,surprise
The result was completely unexpected,surprise
I cannot believe what I just saw,surprise
What a surprising announcement,surprise
I was shocked by the news,surprise
This unexpected event amazed me,surprise
I am astonished by your talent,surprise
The sudden visit surprised me,surprise
I never expected this wonderful gift,surprise
The final score surprised everyone,surprise
I love spending time with my family,love
You are very important to me,love
I care deeply about my parents,love
I love my best friend,love
My family gives me so much love,love
I feel affection for my little sister,love
I am grateful for your kindness,love
I really care about these people,love
Love makes life beautiful,love
I enjoy helping the people I love,love
I feel calm and peaceful today,neutral
The weather is normal today,neutral
I am going to college in the morning,neutral
I finished my homework on time,neutral
The book is on the table,neutral
I attended my class today,neutral
The train arrived at the station,neutral
I had lunch with my friend,neutral
The computer is working normally,neutral
I will study for two hours tonight,neutral
I am feeling very happy today,joy
This is the best day of my life,joy
I am so excited about the trip,joy
I feel wonderful and cheerful,joy
What a beautiful and joyful moment,joy
I am smiling all day,joy
I am delighted with the result,joy
This news made me extremely happy,joy
I feel great about my success,joy
I am enjoying this wonderful evening,joy
I am sad and want to cry,sadness
Today I feel very lonely,sadness
I miss my old friends,sadness
This situation makes me unhappy,sadness
I feel disappointed about the result,sadness
I am crying because I lost my toy,sadness
My heart feels heavy today,sadness
I feel unhappy after the bad news,sadness
I am unhappy with what happened,sadness
I feel lonely at home,sadness
I am very angry right now,anger
This behavior makes me furious,anger
I hate being treated unfairly,anger
I am frustrated with this problem,anger
That rude comment made me angry,anger
I cannot control my anger,anger
I am annoyed by the constant noise,anger
This unfair decision makes me furious,anger
I feel irritated with my brother,anger
I am angry about the mistake,anger
I am scared of the dark,fear
I feel afraid of losing my job,fear
This strange sound makes me nervous,fear
I am worried about the exam,fear
I fear that something bad will happen,fear
I feel frightened when I am alone,fear
The storm made everyone afraid,fear
I am nervous about tomorrow,fear
I am terrified by the loud noise,fear
I feel anxious before the interview,fear
I am surprised by this gift,surprise
The result was completely unexpected,surprise
I cannot believe what I just saw,surprise
What a surprising announcement,surprise
I was shocked by the news,surprise
This unexpected event amazed me,surprise
I am astonished by your talent,surprise
The sudden visit surprised me,surprise
I never expected this wonderful gift,surprise
The final score surprised everyone,surprise
I love spending time with my family,love
You are very important to me,love
I care deeply about my parents,love
I love my best friend,love
My family gives me so much love,love
I feel affection for my little sister,love
I am grateful for your kindness,love
I really care about these people,love
Love makes life beautiful,love
I enjoy helping the people I love,love
I feel calm and peaceful today,neutral
The weather is normal today,neutral
I am going to college in the morning,neutral
I finished my homework on time,neutral
The book is on the table,neutral
I attended my class today,neutral
The train arrived at the station,neutral
I had lunch with my friend,neutral
The computer is working normally,neutral
I will study for two hours tonight,neutral
